File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF347XQK	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF154SZS	63145302	ENCODE Processing Pipeline	8d136bc3676dea1319bf28c120188969		https://www.encodeproject.org/files/ENCFF347XQK/@@download/ENCFF347XQK.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/6a9c6a00-de7a-45e5-8597-d196d99f1253/ENCFF347XQK.bigWig				
ENCFF880YKY	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF154SZS	62055324	ENCODE Processing Pipeline	560c326f12a8b4b25e048f89a1904cf3		https://www.encodeproject.org/files/ENCFF880YKY/@@download/ENCFF880YKY.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/04d4a7d9-6054-4969-8b59-08cd91268265/ENCFF880YKY.bigWig				
ENCFF313RWH	tsv	differential expression quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1, 2							ENCFF656QEN, ENCFF738SSD, ENCFF804JHE, ENCFF819ORB	5854671	Brenton Graveley, UConn	1c29817eb95f90df96788ced49311e7d		https://www.encodeproject.org/files/ENCFF313RWH/@@download/ENCFF313RWH.tsv	hg19	V19			released	s3://encode-public/2018/04/26/2503b340-d9aa-4018-89ea-b57997934862/ENCFF313RWH.tsv				
ENCFF215CJR	tsv	differential expression quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1, 2							ENCFF015IHM, ENCFF140KPE, ENCFF573KPK, ENCFF870IID	4297481	Brenton Graveley, UConn	f4d8d25f2aacd3f65edb9896f88f25c9		https://www.encodeproject.org/files/ENCFF215CJR/@@download/ENCFF215CJR.tsv	hg19	V19			released	s3://encode-public/2018/04/26/d4cb9ecf-d9e9-48e3-8f8d-f6c921cd5de6/ENCFF215CJR.tsv				
ENCFF873ARR	tsv	differential expression quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1, 2							ENCFF015IHM, ENCFF140KPE, ENCFF573KPK, ENCFF870IID	2710189	Brenton Graveley, UConn	966e14c3027fb26a3f916ff6fc0bf7c4		https://www.encodeproject.org/files/ENCFF873ARR/@@download/ENCFF873ARR.tsv	hg19	V19			released	s3://encode-public/2018/04/26/bec7cdba-52ba-43bc-8f0e-37470e6cd877/ENCFF873ARR.tsv				
ENCFF355ACV	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF273RUL, ENCFF360LCP, ENCFF751OWT	2732773103	ENCODE Processing Pipeline	41162b8dab01be172014e0adf17865bb		https://www.encodeproject.org/files/ENCFF355ACV/@@download/ENCFF355ACV.bam	GRCh38	V24			released	s3://encode-public/2016/03/02/2afb0a4a-228c-4b84-afb9-e3ff1035cb8a/ENCFF355ACV.bam				
ENCFF042ICJ	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF007AYD, ENCFF463IGP, ENCFF751OWT	2455509957	ENCODE Processing Pipeline	966412fede661bbc856f20f81251117f		https://www.encodeproject.org/files/ENCFF042ICJ/@@download/ENCFF042ICJ.bam	GRCh38	V24			released	s3://encode-public/2016/03/02/9c3eba9b-9db6-402a-a5d5-2e3a54c1e382/ENCFF042ICJ.bam				
ENCFF144NYB	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF355ACV	62654666	ENCODE Processing Pipeline	30acebd7075ddbb1348d52ab03ccd6eb		https://www.encodeproject.org/files/ENCFF144NYB/@@download/ENCFF144NYB.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/a0284386-a187-4616-9d98-eab4c0b443df/ENCFF144NYB.bigWig				
ENCFF422BGC	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF355ACV	64094463	ENCODE Processing Pipeline	3e744de87c3a5f7c3f7c17f466823dbc		https://www.encodeproject.org/files/ENCFF422BGC/@@download/ENCFF422BGC.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/fd650dea-5c2e-4e50-ac5e-ebac1e429d48/ENCFF422BGC.bigWig				
ENCFF602SCB	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF355ACV	68864818	ENCODE Processing Pipeline	e119f38d886d704173667d13d1001af4		https://www.encodeproject.org/files/ENCFF602SCB/@@download/ENCFF602SCB.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/cee360dc-c492-4bf8-b992-4febfa5c3d08/ENCFF602SCB.bigWig				
ENCFF916CHF	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF042ICJ	55979287	ENCODE Processing Pipeline	277e2569f6dc32bc5699071ea00a24fa		https://www.encodeproject.org/files/ENCFF916CHF/@@download/ENCFF916CHF.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/e4a33de5-0931-47ce-a54e-01fca5fe907a/ENCFF916CHF.bigWig				
ENCFF974DUX	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF355ACV	67944081	ENCODE Processing Pipeline	8aa53cd1517388ea395d7f7b21f3cc03		https://www.encodeproject.org/files/ENCFF974DUX/@@download/ENCFF974DUX.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/ff3b711c-1b68-49ea-8005-759d9ea7fba2/ENCFF974DUX.bigWig				
ENCFF677BNH	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF042ICJ	57180879	ENCODE Processing Pipeline	3fe115582fee84342076c01420983bab		https://www.encodeproject.org/files/ENCFF677BNH/@@download/ENCFF677BNH.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/fb9886bc-40cd-40f1-b43d-9ec312c1da0b/ENCFF677BNH.bigWig				
ENCFF788PMZ	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF042ICJ	61871002	ENCODE Processing Pipeline	1ffe8f99affb37b41c6dff558f8a7c09		https://www.encodeproject.org/files/ENCFF788PMZ/@@download/ENCFF788PMZ.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/c006c2aa-959c-43d6-adce-18b9aeecdfb5/ENCFF788PMZ.bigWig				
ENCFF946VJB	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF042ICJ	62290195	ENCODE Processing Pipeline	eab9f271c74b9067e9d3c3f4dd516a29		https://www.encodeproject.org/files/ENCFF946VJB/@@download/ENCFF946VJB.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/6fad4ad1-6ed0-4989-b70c-b42adadcbe91/ENCFF946VJB.bigWig				
ENCFF571HCE	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF273RUL, ENCFF360LCP, ENCFF742NER	3263069772	ENCODE Processing Pipeline	26abe1e5bbec55a63ecd361250408025		https://www.encodeproject.org/files/ENCFF571HCE/@@download/ENCFF571HCE.bam	GRCh38	V24			released	s3://encode-public/2016/03/02/088fb683-8ff2-48ab-98ac-8fbc2d7c9512/ENCFF571HCE.bam				
ENCFF788ZYK	bam	transcriptome alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF273RUL, ENCFF360LCP, ENCFF742NER	3599635436	ENCODE Processing Pipeline	59ea2a3b613714c2544ad9efc2213d52		https://www.encodeproject.org/files/ENCFF788ZYK/@@download/ENCFF788ZYK.bam	GRCh38	V24			released	s3://encode-public/2016/03/02/e61e0b79-397f-4b69-abed-588d81d98e11/ENCFF788ZYK.bam				
ENCFF730DLV	bam	alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF007AYD, ENCFF463IGP, ENCFF742NER	2933220700	ENCODE Processing Pipeline	0fd1fc77cf33a63e8def49cec397444c		https://www.encodeproject.org/files/ENCFF730DLV/@@download/ENCFF730DLV.bam	GRCh38	V24			released	s3://encode-public/2016/03/02/782f73cb-7f61-421c-b6af-ea702ea273f1/ENCFF730DLV.bam				
ENCFF431DXV	bam	transcriptome alignments	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF007AYD, ENCFF463IGP, ENCFF742NER	3322837284	ENCODE Processing Pipeline	3b71f9c2d339aa962a1e7d5d3286046d		https://www.encodeproject.org/files/ENCFF431DXV/@@download/ENCFF431DXV.bam	GRCh38	V24			released	s3://encode-public/2016/03/02/15f83a91-b673-43ae-8045-f1f59bcfb2b3/ENCFF431DXV.bam				
ENCFF559IMK	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF571HCE	68830601	ENCODE Processing Pipeline	968e40cc43f849edee12e47c194105db		https://www.encodeproject.org/files/ENCFF559IMK/@@download/ENCFF559IMK.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/4ddd41fa-e13f-4a4b-8c2c-57d74393b07f/ENCFF559IMK.bigWig				
ENCFF445XYF	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF571HCE	67159664	ENCODE Processing Pipeline	d867d821d02e2066b9045330edb576d6		https://www.encodeproject.org/files/ENCFF445XYF/@@download/ENCFF445XYF.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/02385c06-10ea-4204-9a96-5fd602f40a7e/ENCFF445XYF.bigWig				
ENCFF094QGR	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF571HCE	76080972	ENCODE Processing Pipeline	0bc9d0194ee56b29c05582d3125600c2		https://www.encodeproject.org/files/ENCFF094QGR/@@download/ENCFF094QGR.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/a0e8d7a1-3787-472b-b953-ed61624db5ef/ENCFF094QGR.bigWig				
ENCFF136RXR	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF571HCE	75122712	ENCODE Processing Pipeline	c813877bdf74dffd07edd57fe800b21e		https://www.encodeproject.org/files/ENCFF136RXR/@@download/ENCFF136RXR.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/37d13368-4dac-4b9c-b0ed-585b8fc6ef88/ENCFF136RXR.bigWig				
ENCFF784YKD	bigWig	minus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF730DLV	60008891	ENCODE Processing Pipeline	6f010ff95e3399ff843bc7bd4f006ddb		https://www.encodeproject.org/files/ENCFF784YKD/@@download/ENCFF784YKD.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/fbe108a6-85d5-4886-b649-1f21de573878/ENCFF784YKD.bigWig				
ENCFF029CTT	bigWig	plus strand signal of unique reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF730DLV	61495493	ENCODE Processing Pipeline	6a9cf6e7af4aa14d08909ae505d36caf		https://www.encodeproject.org/files/ENCFF029CTT/@@download/ENCFF029CTT.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/0c8da4dc-901f-45ef-ad2a-939bb0532e4b/ENCFF029CTT.bigWig				
ENCFF449SWE	bigWig	plus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF730DLV	68555714	ENCODE Processing Pipeline	acb103f4080c7913a9fd6f4af7b579e3		https://www.encodeproject.org/files/ENCFF449SWE/@@download/ENCFF449SWE.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/f6ea4c6e-06d7-4730-b406-3e719b44d569/ENCFF449SWE.bigWig				
ENCFF063SQW	bigWig	minus strand signal of all reads	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF730DLV	68941502	ENCODE Processing Pipeline	d5b36f99fddf7389f94d656127f5951e		https://www.encodeproject.org/files/ENCFF063SQW/@@download/ENCFF063SQW.bigWig	GRCh38	V24			released	s3://encode-public/2016/03/02/b3419e9d-a439-43e7-9f4a-ba750891da45/ENCFF063SQW.bigWig				
ENCFF513PKE	tsv	gene quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF788ZYK, ENCFF940AZB	9881036	ENCODE Processing Pipeline	f05f7a666761d29c401176ad6559263f		https://www.encodeproject.org/files/ENCFF513PKE/@@download/ENCFF513PKE.tsv	GRCh38	V24			released	s3://encode-public/2016/03/02/e2991666-2166-40e3-9e95-2011848d9171/ENCFF513PKE.tsv				
ENCFF859PBW	tsv	transcript quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1							ENCFF788ZYK, ENCFF940AZB	26486407	ENCODE Processing Pipeline	61335eee03b4638a061641b388d7cee0		https://www.encodeproject.org/files/ENCFF859PBW/@@download/ENCFF859PBW.tsv	GRCh38	V24			released	s3://encode-public/2016/03/02/454c3ffe-3d15-4f11-9098-41917393ff36/ENCFF859PBW.tsv				
ENCFF123QMS	tsv	gene quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF431DXV, ENCFF940AZB	9882723	ENCODE Processing Pipeline	b792375eede6c6bbd12cf5063cb59678		https://www.encodeproject.org/files/ENCFF123QMS/@@download/ENCFF123QMS.tsv	GRCh38	V24			released	s3://encode-public/2016/03/02/0523674c-5561-47c7-aaab-164cd1cf1903/ENCFF123QMS.tsv				
ENCFF467JQK	tsv	transcript quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF431DXV, ENCFF940AZB	26495627	ENCODE Processing Pipeline	475a317e64e16230745496634a3ff2e3		https://www.encodeproject.org/files/ENCFF467JQK/@@download/ENCFF467JQK.tsv	GRCh38	V24			released	s3://encode-public/2016/03/02/27c4540a-dbc3-466a-ba1d-488b620c2ab4/ENCFF467JQK.tsv				
ENCFF970XIF	tar	differential splicing quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1, 2							ENCFF656QEN, ENCFF738SSD, ENCFF804JHE, ENCFF819ORB	3007274	Brenton Graveley, UConn	6065da4c8c60caae34e3325694eb220f		https://www.encodeproject.org/files/ENCFF970XIF/@@download/ENCFF970XIF.tar.gz	hg19	V19			released	s3://encode-public/2019/11/13/7ddac94a-d2ce-43ae-8c82-1cd3ec7cce9c/ENCFF970XIF.tar.gz				
ENCFF690WNM	tar	differential splicing quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1, 2							ENCFF656QEN, ENCFF738SSD, ENCFF804JHE, ENCFF819ORB	13119174	Brenton Graveley, UConn	efc75b552e0f0e58bd3e306cffc72ab3		https://www.encodeproject.org/files/ENCFF690WNM/@@download/ENCFF690WNM.tar.gz	hg19	V19			released	s3://encode-public/2019/11/13/00a7eeb4-01dd-4158-9f1c-ef37d92c2a22/ENCFF690WNM.tar.gz				
ENCFF211XVR	tar	differential splicing quantifications	ENCSR023HWI	shRNA knockdown followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1, 2							ENCFF656QEN, ENCFF738SSD, ENCFF804JHE, ENCFF819ORB	3297908	Brenton Graveley, UConn	492193bb4226369aa2fd1409f8ba0a0d		https://www.encodeproject.org/files/ENCFF211XVR/@@download/ENCFF211XVR.tar.gz	hg19	V19			released	s3://encode-public/2019/11/13/18b0d8de-056e-4cb8-a910-b43209dcb4c3/ENCFF211XVR.tar.gz				
ENCFF731KVO	bigWig	minus strand signal of all reads	ENCSR784FTX	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF969IEX	79520955	ENCODE Processing Pipeline	0ff8cce7fc1d395d2fdb81c943b9d2e0		https://www.encodeproject.org/files/ENCFF731KVO/@@download/ENCFF731KVO.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/1de01558-8dee-430d-97cf-23e83a910f1c/ENCFF731KVO.bigWig				
ENCFF578PLR	bigWig	plus strand signal of all reads	ENCSR784FTX	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2							ENCFF969IEX	80937994	ENCODE Processing Pipeline	8a91435a39e0344b54c6b6069e89374c		https://www.encodeproject.org/files/ENCFF578PLR/@@download/ENCFF578PLR.bigWig	hg19	V19			released	s3://encode-public/2015/08/31/a1a98184-6b2a-4744-b52d-c79a17da7474/ENCFF578PLR.bigWig				
ENCFF702UDY	fastq	reads	ENCSR784FTX	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	1	ENCFF689XVP		2852316255	Brenton Graveley, UConn	a5604133300a3f1a6c656232d70e20e8	SRA:SRR4422277	https://www.encodeproject.org/files/ENCFF702UDY/@@download/ENCFF702UDY.fastq.gz			Illumina HiSeq 2000	/files/ENCFF006BJQ/, /files/ENCFF366MJN/	released	s3://encode-public/2015/08/13/5e8a4bb0-8767-4a56-82cc-5e38add1c0f8/ENCFF702UDY.fastq.gz				
ENCFF909SSA	fastq	reads	ENCSR784FTX	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				2	1	100		paired-ended	1	ENCFF730GDK		2679112836	Brenton Graveley, UConn	0d8014f54af31e638fc076ef9000261a	SRA:SRR4422276	https://www.encodeproject.org/files/ENCFF909SSA/@@download/ENCFF909SSA.fastq.gz			Illumina HiSeq 2000	/files/ENCFF006BJQ/, /files/ENCFF366MJN/	released	s3://encode-public/2015/08/13/62d1ffbc-c98a-4931-9178-351bafeb2d18/ENCFF909SSA.fastq.gz				
ENCFF689XVP	fastq	reads	ENCSR784FTX	shRNA knockdown followed by RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	/targets/KHDRBS1-human/				KHDRBS1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			True	2015-08-18	ENCODE				1	1	100		paired-ended	2	ENCFF702UDY		2780963435	Brenton Graveley, UConn	4544c150dd9e823e4d5703722801bd8f	SRA:SRR4422277	https://www.encodeproject.org/files/ENCFF689XVP/@@download/ENCFF689XVP.fastq.gz			Illumina HiSeq 2000	/files/ENCFF259JKZ/, /files/ENCFF271EDI/	released	s3://encode-public/2015/08/13/d26e1bd1-6e3e-45a1-ae55-d2de1fc1cbd8/ENCFF689XVP.fastq.gz				
